1,1.52101,13.64,4.49,1.10,71.78,0.06,8.75,0.00,0.00,1	71,1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0.00,0.12,2	186,1.51131,13.69,3.20,1.81,72.81,1.76,5.43,1.19,0.00,7
2,1.51761,13.89,3.60,1.36,72.73,0.48,7.83,0.00,0.00,1	72,1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0.00,0.32,2	187,1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.00,7
3,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.00,0.00,1	73,1.51593,13.09,3.59,1.52,73.10,0.67,7.83,0.00,0.00,2	188,1.52315,13.44,3.34,1.23,72.38,0.60,8.83,0.00,0.00,7
4,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.00,0.00,1	74,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0.00,0.00,2	189,1.52247,14.86,2.20,2.06,70.26,0.76,9.76,0.00,0.00,7
5,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.00,0.00,1	75,1.51596,13.02,3.56,1.54,73.11,0.72,7.90,0.00,0.00,2	190,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.00,7
6,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.00,0.26,1	76,1.51590,13.02,3.58,1.51,73.12,0.69,7.96,0.00,0.00,2	191,1.51613,13.88,1.78,1.79,73.10,0.00,8.67,0.76,0.00,7
7,1.51743,13.30,3.60,1.14,73.09,0.58,8.17,0.00,0.00,1	77,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0.00,0.00,2	192,1.51602,14.85,0.00,2.38,73.28,0.00,8.76,0.64,0.09,7
8,1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.00,0.00,1	78,1.51627,13.00,3.58,1.54,72.83,0.61,8.04,0.00,0.00,2	193,1.51623,14.20,0.00,2.79,73.46,0.04,9.04,0.40,0.09,7
9,1.51918,14.04,3.58,1.37,72.08,0.56,8.30,0.00,0.00,1	79,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0.00,0.14,2	194,1.51719,14.75,0.00,2.00,73.02,0.00,8.53,1.59,0.08,7
10,1.51755,13.00,3.60,1.36,72.99,0.57,8.40,0.00,0.11,1	80,1.51590,12.82,3.52,1.90,72.86,0.69,7.97,0.00,0.00,2	195,1.51683,14.56,0.00,1.98,73.29,0.00,8.52,1.57,0.07,7
11,1.51571,12.72,3.46,1.56,73.20,0.67,8.09,0.00,0.24,1	81,1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0.00,0.00,2	196,1.51545,14.14,0.00,2.68,73.39,0.08,9.07,0.61,0.05,7
12,1.51763,12.80,3.66,1.27,73.01,0.60,8.56,0.00,0.00,1	82,1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0.00,0.00,2	197,1.51556,13.87,0.00,2.54,73.23,0.14,9.41,0.81,0.01,7
13,1.51589,12.88,3.43,1.40,73.28,0.69,8.05,0.00,0.24,1	83,1.51646,13.41,3.55,1.25,72.81,0.68,8.10,0.00,0.00,2	198,1.51727,14.70,0.00,2.34,73.28,0.00,8.95,0.66,0.00,7
14,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.00,0.17,1	84,1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0.00,0.09,2	199,1.51531,14.38,0.00,2.66,73.10,0.04,9.08,0.64,0.00,7
15,1.51763,12.61,3.59,1.31,73.29,0.58,8.50,0.00,0.00,1	85,1.51409,14.25,3.09,2.08,72.28,1.10,7.08,0.00,0.00,2	200,1.51609,15.01,0.00,2.51,73.05,0.05,8.83,0.53,0.00,7
16,1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0.00,0.00,1	86,1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.00,0.00,2	201,1.51508,15.15,0.00,2.25,73.50,0.00,8.34,0.63,0.00,7
17,1.51784,12.68,3.67,1.16,73.11,0.61,8.70,0.00,0.00,1	87,1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.00,0.00,2	202,1.51653,11.95,0.00,1.19,75.18,2.70,8.93,0.00,0.00,7
18,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.00,0.00,1	88,1.51645,13.40,3.49,1.52,72.65,0.67,8.08,0.00,0.10,2	203,1.51514,14.85,0.00,2.42,73.72,0.00,8.39,0.56,0.00,7
19,1.51911,13.90,3.73,1.18,72.12,0.06,8.89,0.00,0.00,1	89,1.51618,13.01,3.50,1.48,72.89,0.60,8.12,0.00,0.00,2	204,1.51658,14.80,0.00,1.99,73.11,0.00,8.28,1.71,0.00,7
20,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.00,0.07,1	90,1.51640,12.55,3.48,1.87,73.23,0.63,8.08,0.00,0.09,2	205,1.51617,14.95,0.00,2.27,73.30,0.00,8.71,0.67,0.00,7
21,1.51750,12.82,3.55,1.49,72.75,0.54,8.52,0.00,0.19,1	91,1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.00,0.22,2	206,1.51732,14.95,0.00,1.80,72.99,0.00,8.61,1.55,0.00,7
22,1.51966,14.77,3.75,0.29,72.02,0.03,9.00,0.00,0.00,1	92,1.51605,12.90,3.44,1.45,73.06,0.44,8.27,0.00,0.00,2	207,1.51645,14.94,0.00,1.87,73.11,0.00,8.67,1.38,0.00,7
